Term;Stemmed;Variations;Frequency
quadratic equation;quadratic equation;quadratic equation;0
reporting;reporting;reporting;4
key-value pair;key-value pair;key-value pairs, key-value pair;3
distributivity;distributivity;distributivity;0
identity;identity;identities, identity;20
polymorphism;polymorphism;polymorphism;26
mzero;mzero;mzero;11
numeric library;numeric library;numeric library;0
lookup function;lookup function;lookup function;1
module function;module function;module functions, module function;0
command;command;command;108
filesystem;filesystem;filesystems, filesystem;12
primitive recursive function;primitive recursive function;primitive recursive functions, primitive recursive function;0
haskell.org;haskell.org;haskell.org;2
TCP;tcp;TCP;27
.hsc files 2nd;.hsc files 2nd;.hsc files 2nd;0
runST function;runst function;runST function;0
runghc program;runghc program;runghc program;0
ADT;adt;ADT;2
System.Directory module 2nd 3rd;System.Directory module 2nd 3rd;System.Directory module 2nd 3rd;0
string function;string function;string function;0
monads 2nd;monad 2nd;monads 2nd;0
data structure;data structure;data structures, data structure;32
deadlocks 2nd;deadlock 2nd;deadlocks 2nd;0
boolean expression;boolean expression;boolean expressions, boolean expression;0
sequencing;sequencing;sequencing;3
fromintegral function 2nd;fromintegral function 2nd;fromintegral function 2nd;0
callback function;callback function;callback functions, callback function;3
elem function;elem function;elem function;0
Control.Monad module 2nd;Control.Monad module 2nd;Control.Monad module 2nd;0
qualified import;qualified import;qualified imports, qualified import;8
widgets (GUI programming);widget ( gui programming );widgets (GUI programming);0
export;export;exports, export;46
shape of functors;shape of functors;shape of functors;0
monomorphic property;monomorphic property;monomorphic properties, monomorphic property;1
web client programming;web client programming;web client programming;5
testing [see quality assurance];testing [ see quality assurance ];testing [see quality assurance];0
multiplication (*) option;multiplication (*) option;multiplication (*) option;0
enum;enum;enum;10
infix version of a function;infix version of a function;infix version of a function;0
monadplus;monadplus;monadplus;1
CAFs (constant applicative forms);cafs ( constant applicative form );CAFs (constant applicative forms);0
non-threaded runtime;non-threaded runtime;non-threaded runtime;4
socket;socket;sockets, socket;13
pipes (redirection);pipe ( redirection );pipes (redirection);0
glade;glade;glade;37
maxthree;maxthree;maxthree;0
constructor;constructor;constructors, constructor;238
context of failure;context of failure;context of failure;0
software;software;software;22
guard;guard;guards, guard;48
boolean algebra;boolean algebra;boolean algebra;0
Data.ByteString.Lazy.Char8 module;Data.ByteString.Lazy.Char8 module;Data.ByteString.Lazy.Char8 module;0
negate;negate;negate;2
networking;networking;networking;5
reduction;reduction;reduction;3
function;function;functions, function;1909
strict evaluation 2nd;strict evaluation 2nd;strict evaluation 2nd;0
MonadIO typeclass;monadio typeclass;MonadIO typeclass;1
divide and conquer;divide and conquer;divide and conquer;1
random number;random number;random numbers, random number;34
overlapping;overlapping;overlapping;12
RPN (Reverse Polish Notation);rpn ( reverse polish notation );RPN (Reverse Polish Notation);0
embedded domain specific language;embedded domain specific language;embedded domain specific languages, embedded domain specific language;1
editing;editing;editing;7
Graphics.UI.Gtk.Graphics.UI.Gtk.Glade module;Graphics.UI.Gtk.Graphics.UI.Gtk.Glade module;Graphics.UI.Gtk.Graphics.UI.Gtk.Glade module;0
record;record;records, record;53
Database.HDBC module;Database.HDBC module;Database.HDBC module;0
limit;limit;limit;16
stderr function;stderr function;stderr function;0
standard prelude;standard prelude;standard prelude;6
c programming language 2nd 3rd;c programming language 2nd 3rd;c programming language 2nd 3rd;0
boilerplate 2nd;boilerplate 2nd;boilerplate 2nd;0
redirection (pipes);redirection ( pipe );redirection (pipes);0
types 2nd 3rd;type 2nd 3rd;types 2nd 3rd;0
Graphics.UI.Gtk module;Graphics.UI.Gtk module;Graphics.UI.Gtk module;0
int;int;int;78
row datum;row datum;row data, row datum;0
newtype keyword;newtype keyword;newtype keyword;0
subtraction (-) option;subtraction (-) option;subtraction (-) option;0
binary I/O;binary I/O;binary I/O;1
unboxed value in arrays;unboxed value in array;unboxed values in arrays, unboxed value in arrays;0
hsc2h;hsc2h;hsc2hs, hsc2h;0
association list;association list;association list;15
bool;bool;bool;49
foreign module;foreign module;foreign modules, foreign module;0
HPC;hpc;HPC;10
genericity;genericity;genericity;0
lock order inversion;lock order inversion;lock order inversion;1
repeat;repeat;repeat;9
class;class;classes, class;67
quickquery' function 2nd;quickquery ' function 2nd;quickquery' function 2nd;0
scaled value;scaled value;scaled values, scaled value;1
mconcat;mconcat;mconcat;0
disjunction;disjunction;disjunction;0
command-line;command-line;command-line;9
codemessage;codemessage;codemessage;0
Data.List.lookup function;Data.List.lookup function;Data.List.lookup function;0
POSIX regular expression;posix regular expression;POSIX regular expressions, POSIX regular expression;1
Standard ML;standard ml;Standard ML;0
imperative programming;imperative programming;imperative programming;3
